Name,Image,Famille,Catégorie,Sous-catégorie,Couleur,Matières,Pièces habitation ,Dimension,Kg,Type achat,Fournisseur,Ref fournisseur,Type d'article,Unité,URL,Prix achat HT (indicatif),Description fournisseur
,image_1024-485.jpeg (https://v5.airtableusercontent.com/v3/u/45/45/1759521600000/AnY8k4Bg1z6LQJRHHAq1Dw/VCW87s6oFqsqh7HxEJgnctIb7evorZEvde6vOu4EAp81yi9DgiTYV3Zqfd9zHE1GcscCCcGD_jZFwmclbf6GEFBKQ5iHU8DXmGgwNK9CDFlXFtE6mti_2H1XWmBa6m6lWy5bKfon1sFOFnZuyrPF-ZD9nZQ6Db0G968uv-0W0Kw/b0KHl-s8dfvVttiquqf52yEtAkuDSCSp4WRvWX7ktYI),,,,,,,,,,6 -   Opjet,,vente de marchandises,Unité,https://www.opjet.com/shop/016046-abat-jour-pour-suspension-saison-gm-d100cm-17184?page=5&category=38#attr=,,
,image_1024-486.jpeg (https://v5.airtableusercontent.com/v3/u/45/45/1759521600000/2tiopuKVLKaAv8fTNMKCFg/OfyM5HIGRZDYM17x5Zi5y7DM4CUihqO4ZagODeparFZ4gZkf1yRYJbfevWbZqdj-7nNSFxstGZ3rG3Tf72mzmDm1x_tmEpUgJ97GfLu8rUQvBiOLdLIKWKprK1MLBp3QX7jWKbfv55bE490iyNNFrD_IrxMF9hRF2bBmuSYYaME/1lauMgV9H6weH9snyONfcPxYXN8XN3jiTZFw4W6rZaM),,,,,,,,,,6 -   Opjet,,vente de marchandises,Unité,https://www.opjet.com/shop/016048-abat-jour-pour-suspension-paradis-d55-h21cm-17186?page=5&category=38#attr=,,
,image_1024-488.jpeg (https://v5.airtableusercontent.com/v3/u/45/45/1759521600000/JjZpCimizDIdwTXbgJ5EJA/LdLjhaEi4uzu1lTFBBzrYmLVJ2XvnKxWyZvDMe9z8T-tTH5oDWTyYil29dUoiAWxj4cjOhYKjM5MRVY9YkcCZsu1EwXzu4Vxq_doprnRDbXaVbHaIj9s9v9DcN-TQXlILe3dYfwHP-0v5DA2zO-6QZIiLehLhF1fCeBKN4nF_GM/qJlF-wx_4RIMe6mMum2pC31ts0DxwjW2WiHOss7TPZo),,,,,,,,,,6 -   Opjet,,vente de marchandises,Unité,https://www.opjet.com/shop/013309-abat-jour-pour-applique-solaire-mini-raphia-naturelle-l20-p15-h24-5cm-13012?page=8&category=38#attr=,,
,image_1024-489.jpeg (https://v5.airtableusercontent.com/v3/u/45/45/1759521600000/WBetf8aMO00Ke3mlCFnGfw/sYjli8v_2y7z0j9ge1q0j8pxOmRIJF9CCgIkuEblHm8m3X4jfFVjXO6PWVd2rjZrtOe0EQN6XTWAMh0BnuuBRwreiQGF0cv0oUwqM5S5aj13kUzPeGDEl82Cp_TqxWf3_fbGarCJjxmFZhgHumNmunfWy3igNBvIxcVLV-D9wMc/YO1yF0HnTayUGWGEqXFRLrEbsjJHdyxpVVWv-MwTygw),,,,,,,,,,6 -   Opjet,,vente de marchandises,Unité,https://www.opjet.com/shop/013307-lampe-saturne-pm-raphia-naturel-d23-h28cm-13010?page=8&category=38#attr=,,
,image_1024-492.jpeg (https://v5.airtableusercontent.com/v3/u/45/45/1759521600000/4CbAP_R96A6m3lZBuXCbeg/d2VWtd6OfmWAfO9Zw12gmDEZcYPNj0K6xqD6jVaOOu8CqAA93ZTXzX8ZPTZDzSRNA67IbbmGa-zJj4T1D0hoq3yAKugNr6KPXCFEm-pK64oUN2eNWh4I_j0aXbrlkkaO61gpwgfZTDUUUtAC9qb-KiSUWyZH8Z98b1i3lruDQ6Q/6O0KDUc7p9-F-DrcYuW9LN1DGizQKlJ8Zhp-OoTJxNc),,,,,,,,,,6 -   Opjet,,vente de marchandises,Unité,https://www.opjet.com/shop/016899-tabouret-cute-raphia-naturel-d29-h41cm-19343?category=1#attr=,,
,image_1024-494.jpeg (https://v5.airtableusercontent.com/v3/u/45/45/1759521600000/XsG4kGIJSJwkVzHbhvKQ5Q/PeUkMfQL0Wyibr5FsuP4bD6j2M-ZWeepVxX7ex5FBmSdxLopiIK5_APnk5xCKKocmZZpUhX63_NfXg3RdzhumTv7RkBvgfLq70WkSD2g071sQi3vR0UZVbrguIrMIT9J6nMAfeYpwX-BqMJxNxkmwBVOfN0ctbyoWC384HnKvNY/_hbozc2o5KlPobENZ8gQ3blEky4--IvZA_fN3rpewUg),,,,,,,,,,6 -   Opjet,,vente de marchandises,Unité,https://www.opjet.com/shop/016482-set-de-table-rond-tradition-sable-d38cm-18403?category=56#attr=,,
,image_1024-495.jpeg (https://v5.airtableusercontent.com/v3/u/45/45/1759521600000/pkX8BxeLQTT9uaf1mw1ixQ/rvLvesrhse3KEXKZPUoe1kMjdQjSedhxP1ewiKXgIAXgDsZpgdMmNFzYO9hrrdrfobJfqLVsgqpkXI_TGIsMrp5B4VPjrXl1S9RgkH8Z7gq1lY-nl2vVy9K-6rOBv35TQwZosECX0zW7kUF7yPPw3VMhTTAUgMp5rRt9EO6QdEY/7R2lbiFJbDdmku98kMu4jDPlRzmuJdwct5_acyTBs68),,,,,,,,,,6 -   Opjet,,vente de marchandises,Unité,https://www.opjet.com/shop/016481-set-de-table-rond-tradition-ecru-d38cm-18402?category=56#attr=,,
Suspension Solal,image_1024-204.jpeg (https://v5.airtableusercontent.com/v3/u/45/45/1759521600000/YuD0136LXEeSRIfGFxVUHw/y9pRL0ohnsSyjgf4XsZzzdqRumE8w_1Ejox8b9eZeJ0CkY4rKMN5GpxuJlIyJSMHcRlEUpwtwPy9RRruDlJW6xJSpsplk85Qenh16_5pte5HiM6owSG7bocOjbDCNcr0lAQPfOWdwwwUcV5IE2u4iWNR2sa7DNq1yV3S5HQI5wE/4DW6oFnzREph8PnkVIm10o2wGLfyddM_sFpO7h3VzcE),1 -  Maison et décoration,4 -  Éclairage,1 - Suspension (luminaire suspendu),Beige,Rotin / Osier,Toutes pièces,D75 H13cm,"0,65",Stockage,6 -   Opjet,015607,vente de marchandises,Unité,https://www.opjet.com/shop/015607-abat-jour-pour-suspension-ondulante-d75-h13cm-15808?category=627#attr=,"€49,00","Abat-jour pour Suspension Ondulante – Style Raphia, D75 x H13 cm
Apportez une ambiance naturelle et chaleureuse à votre intérieur avec cet abat-jour de suspension au design ondulant. Fabriqué à la main en papier façon raphia tressé, cet abat-jour crée une atmosphère douce et organique. Idéal pour compléter une suspension et personnaliser votre espace avec un look bohème et authentique.
Caractéristiques :
- Matériau : Papier façon raphia tressé, finition naturelle
- Structure : Métal, assurant solidité et stabilité
- Couleur : Naturel
- Dimensions : Diamètre 75 cm x Hauteur 13 cm
- Poids net : 0,65 kg
- Type de douille : E27
- Puissance maximale : 60 W (ampoule non incluse)
Avantages :
- Design artisanal : Chaque pièce est unique grâce à la fabrication à la main, apportant de légères variations et imperfections pour un charme naturel.
- Grande envergure : Avec son large diamètre de 75 cm, cet abat-jour est parfait pour créer un point focal au-dessus d’une table ou dans une pièce à vivre.
- Polyvalence décorative : Compatible avec toutes les suspensions douilles, il s'adapte facilement à divers styles d'intérieur, qu'ils soient bohèmes, naturels ou contemporains.
Conseils d'utilisation :
Ce modèle est conçu pour une utilisation en intérieur uniquement. Associez-le avec une suspension douille et une ampoule à filament pour accentuer son style naturel. Idéal pour éclairer un salon, une salle à manger ou même une chambre."
Suspension Aluna,image_1024-347.jpeg (https://v5.airtableusercontent.com/v3/u/45/45/1759521600000/vUBv5Uh07HGq-a3pyrs3zg/A6-AjSBdlrQviAzCOGFnUO3IxLBzvdI_fBi3jNkF5jT93qVZVWiU8OyTjI_HhmEuCcDfKsMHsF_PehFlCYIKalgKa9oYfxfFXGS_tjrps9idu8izZTss9LSUU8n9fSR30QLegsBd50oN8Dq31Shok02n8mrjd-B_-5ET_xIp7Bg/Zd4m3gNo5q0D1BLy_ZpZKCoVBzzNB5q8qOAac7npw3A),1 -  Maison et décoration,4 -  Éclairage,1 - Suspension (luminaire suspendu),Beige,Rotin / Osier,Toutes pièces,D90cm,"0,65",Stockage,6 -   Opjet,016869,vente de marchandises,Unité,https://www.opjet.com/shop/016869-abat-jour-pour-suspension-eleonore-d90cm-19294?page=14#attr=,"€29,00","Abat-jour pour Suspension Eléonore D90 cm
Ajoutez une touche naturelle et bohème à votre intérieur avec l’abat-jour pour suspension Eléonore. Son design en fibres naturelles tressées crée un effet léger et aérien, idéal pour diffuser une lumière douce et chaleureuse. Son large diamètre en fait un élément de décoration remarquable, parfait pour un salon, une salle à manger ou une chambre.
- Matériau : Fibre naturelle tressée
- Couleur : Naturel
- Dimensions : Diamètre 90 cm
- Poids net : 0,325 kg
Avantages :
- Style bohème chic : Un design qui apporte une touche de nature et de légèreté à votre intérieur.
- Diffusion lumineuse douce : La structure ajourée permet de créer des jeux de lumière et d’ombre pour une ambiance apaisante.
- Grande envergure : Son diamètre de 90 cm en fait une pièce maîtresse qui attire le regard.
Conseil d’utilisation :
À suspendre avec une douille et un système électrique compatible (vendus séparément). Utilisez une ampoule E27, puissance maximale de 60W pour un éclairage optimal."
Suspension Alba Papier Mâché Blanc ,image_1024-71.png (https://v5.airtableusercontent.com/v3/u/45/45/1759521600000/gjzR9FsxpZAdgs96LywSPQ/8CCksXTJ8ns2KgZaJnstM7t33CtgMDg2uMMdW14_AeA0swmM19ePdApCw6i05oPk5vjWR2KChsAJ0lVZX6SfG3XELZYvpaYM6SfjzvKLD3r1DJLcBxCukWtwZWnEwio9pJKZ3xhd9xIL0GICGRJekTrANQT2K0zaxMp97JKzhuk/99HWWJKYEINq-9Xd2VKcKKKcNsuTxuJfRUe7IXTuI0g),1 -  Maison et décoration,4 -  Éclairage,1 - Suspension (luminaire suspendu),Blanc,Autre,Toutes pièces,D78 H12cm,0.4,Stockage,6 -   Opjet,017888,vente de marchandises,Unité,https://www.opjet.com/shop/017888-abat-jour-pour-suspension-louison-gm-d78-h12cm-22094?category=38#attr=,"€29,95","Abat-jour pour Suspension Louison GM – D78 x H12 cm
Apportez une touche d’élégance artisanale et de légèreté à votre intérieur avec l’abat-jour Louison grand modèle. Fabriqué en papier mâché, il séduit par sa texture naturelle, son style épuré et sa silhouette organique qui évoque un univers poétique et contemporain.
Description
Conçu à la main dans une matière éco-friendly, l’abat-jour Louison GM habille votre suspension avec douceur. Son large diamètre en fait une pièce maîtresse idéale au-dessus d’une table à manger, dans un salon ou une chambre. Il diffuse une lumière tamisée et chaleureuse qui sublime chaque espace.
Détails des caractéristiques
- Matériau : Papier mâché
- Couleur : Blanc
- Hauteur : 12 cm
- Diamètre : 78 cm
- Poids net : 0,4 kg
- Type de culot : E27
- (Vendu sans ampoule ni système électrique)
Avantages
✔ Fabrication artisanale : chaque pièce est unique
 ✔ Léger et facile à suspendre
 ✔ Effet texturé tendance
 ✔ Compatible avec douille E27, jusqu’à 60W
 ✔ Usage intérieur exclusivement
Conseils d’entretien
Nettoyez délicatement avec un chiffon sec. Ne pas exposer à l’humidité.
L’abat-jour Louison GM est parfait pour ceux qui recherchent une suspension décorative minimaliste, naturelle et pleine de caractère.









"
