"Produit","SKU","Source","Quantité","Prix unit. HT","CA HT","CA TTC"
"Plateau bois 20 x 30 cm","PLA-0001","Sur-mesure","1580","23.51","37146.90","37221.19"
"Plateau bois 30 x 40 cm","PLA-0002","Sur-mesure","957","15.88","15197.16","15227.55"
"Coussin Rêveur","COU-0001","Catalogue","158","30.24","4778.54","4788.10"
"Suspension raphia 3","SUS-0007","Catalogue","123","148.48","18263.46","18299.99"
"Coussin Évasion Bleu","COU-0006","Catalogue","83","25.18","2089.94","2094.12"
"Suspension raphia 6","SUS-0006","Catalogue","74","181.94","13463.46","13490.39"
"Suspensions franges n°1","SUS-0010","Catalogue","74","65.08","4815.92","4825.55"
"Coussin Rose Sérénité","COU-0005","Catalogue","71","24.59","1745.89","1749.38"
"Coussin Blanc","COU-0007","Catalogue","58","64.73","3754.34","3761.85"
"Suspension paille","SUS-0003","Catalogue","51","89.89","4584.49","4593.66"
"Coussin beige","COU-0009","Catalogue","48","61.16","2935.68","2941.55"
"Séparateur Terrasse","SEP-0001","Sur-mesure","47","399.50","18776.50","18814.05"
"Coussin Bleu","COU-0008","Catalogue","44","56.12","2469.28","2474.22"
"Tabouret modèle 2021","BAN-0001","Catalogue","38","0.00","0.00","0.00"
"Suspension frange n°3","SUS-0009","Catalogue","33","65.08","2147.64","2151.94"
"Suspension raphia 5","SUS-0005","Catalogue","32","170.50","5455.84","5466.75"
"Suspension frange n°5","SUS-0008","Catalogue","29","115.51","3349.79","3356.49"
"Ciel de bar","VAS-0034","Catalogue","25","310.75","7768.75","7784.29"
"Suspensions frange n°2","SUS-0002","Catalogue","21","88.29","1854.05","1857.76"
"Rond paille M","DEC-0004","Catalogue","16","42.92","686.72","688.09"
"Rond paille L","DEC-0003","Catalogue","16","47.92","766.71","768.24"
"Organiseur coulissant bambou MM","RAN-0002","Catalogue","14","12.35","172.90","173.25"
"Lots 4 miroirs irrégulier laiton","DEC-0005","Catalogue","13","352.66","4584.62","4593.79"
"Rond paille S","DEC-0002","Catalogue","13","32.98","428.80","429.66"
"Table modèle 2021","TAB-0003","Catalogue","11","0.00","0.00","0.00"
"Miroir XL","DEC-0001","Catalogue","10","145.85","1458.49","1461.41"
"Meuble TABESTO à POKAWA","MEU-0001","Mes produits","8","690.57","5524.56","5535.61"
"Banc artisanal bois - 100 cm","BAN-0009","Catalogue","6","143.13","858.78","860.50"
"Poubelle à POKAWA","POU-0001","Mes produits","5","972.42","4862.10","4871.82"
"Organiseur coulissant bambou PM","RAN-0001","Catalogue","4","7.35","29.40","29.46"
"Panier n°1 Taille M","PRD-0311","Catalogue","2","22.51","45.02","45.11"
"Panier n°1 Taille L","PRD-0312","Catalogue","2","34.27","68.54","68.68"
"Suspension frange n°4","SUS-0001","Catalogue","2","81.88","163.76","164.09"
"Panier n°1 Taille S","PRD-0310","Catalogue","2","17.98","35.96","36.03"
"Banc artisanal bois - 120 cm","BAN-0008","Catalogue","1","131.29","131.29","131.55"
"Vase Tamegroute","VAS-0005","Catalogue","1","15.88","15.88","15.91"
"Soliflore PM","VAS-0006","Catalogue","1","9.21","9.21","9.23"
"Soliflore GM","VAS-0007","Catalogue","1","18.21","18.21","18.25"
"Vase ceramic Anse terracotta","VAS-0008","Catalogue","1","8.05","8.05","8.07"
"Vase terracota Pluriel","VAS-0016","Catalogue","1","14.93","14.93","14.96"
"Vase ceramic Titi bleu","VAS-0017","Catalogue","1","23.94","23.94","23.99"
"Vase ceramic boule terracotta","VAS-0019","Catalogue","1","21.39","21.39","21.43"
"Vase ceramic Double blanc texturé","VAS-0020","Catalogue","1","13.33","13.33","13.36"
